issue,toilet_id,name,addr,raw_dong,legal_dong,admin_dong
MISSING_DONG_MAPPING,NMG-0001,21센츄리 상가,부산광역시 남구 수영로 312,대연동,대연동,
MISSING_DONG_MAPPING,NMG-0002,대연지구대 공중화장실,부산광역시 남구 수영로 328,대연동,대연동,
MISSING_DONG_MAPPING,NMG-0003,인터지스 주유소,부산광역시 남구 신선로 173,감만동,감만동,
MISSING_DONG_MAPPING,NMG-0008,부산분포우체국,부산광역시 남구 신선로 566-1,용호동,용호동,
MISSING_DONG_MAPPING,NMG-0011,이기대공원 공룡발자국 공중화장실,부산광역시 남구 이기대공원로 105-15,용호동,용호동,
MISSING_DONG_MAPPING,NMG-0012,백운포테니스장 입구 공중화장실,부산광역시 남구 백운포로 34,용호동,용호동,
MISSING_DONG_MAPPING,NMG-0013,백운포체육공원(마사구장) 공중화장실,부산광역시 남구 백운포로 64,용호동,용호동,
MISSING_DONG_MAPPING,NMG-0014,해파랑길 관광안내소,부산광역시 남구 오륙도로 137,용호동,용호동,
MISSING_DONG_MAPPING,NMG-0015,부경대학교 미래관,부산광역시 남구 용소로 45,대연동,대연동,
MISSING_DONG_MAPPING,NMG-0016,부경대학교 환경해양관,부산광역시 남구 용소로 45,대연동,대연동,
MISSING_DONG_MAPPING,NMG-0017,부경대학교 학술정보관,부산광역시 남구 용소로 45,대연동,대연동,
MISSING_DONG_MAPPING,NMG-0018,부경대학교 대학본부,부산광역시 남구 용소로 45,대연동,대연동,
MISSING_DONG_MAPPING,NMG-0019,부경대학교 수산과학관,부산광역시 남구 용소로 45,대연동,대연동,
MISSING_DONG_MAPPING,NMG-0020,부경대학교 자연과학1관,부산광역시 남구 용소로 45,대연동,대연동,
MISSING_DONG_MAPPING,NMG-0021,부경대학교 향파관,부산광역시 남구 용소로 45,대연동,대연동,
MISSING_DONG_MAPPING,NMG-0022,부경대학교 나래관,부산광역시 남구 용소로 45,대연동,대연동,
MISSING_DONG_MAPPING,NMG-0023,부경대학교 장영실관,부산광역시 남구 용소로 45,대연동,대연동,
MISSING_DONG_MAPPING,NMG-0024,부경대학교 해양공동연구관,부산광역시 남구 용소로 45,대연동,대연동,
MISSING_DONG_MAPPING,NMG-0025,부경대학교 건축관,부산광역시 남구 용소로 45,대연동,대연동,
MISSING_DONG_MAPPING,NMG-0026,부경대학교 호연관,부산광역시 남구 용소로 45,대연동,대연동,
MISSING_DONG_MAPPING,NMG-0027,부경대학교 자연과학2관,부산광역시 남구 용소로 45,대연동,대연동,
MISSING_DONG_MAPPING,NMG-0028,부경대학교 누리관,부산광역시 남구 용소로 45,대연동,대연동,
MISSING_DONG_MAPPING,NMG-0029,부경대학교 웅비관,부산광역시 남구 용소로 45,대연동,대연동,
MISSING_DONG_MAPPING,NMG-0031,대동골문화센터 3층,부산광역시 남구 황령대로319번가길 147,대연동,대연동,
MISSING_DONG_MAPPING,NMG-0032,가람아트홀,부산광역시 남구 유엔평화로76번길 26,대연동,대연동,
MISSING_DONG_MAPPING,NMG-0033,부산문화회관 전시실,부산광역시 남구 유엔평화로 76번길 1,대연동,대연동,
MISSING_DONG_MAPPING,NMG-0034,부산문화회관 다듬채,부산광역시 남구 유엔평화로 76번길 1,대연동,대연동,
MISSING_DONG_MAPPING,NMG-0035,부산문화회관 중극장,부산광역시 남구 유엔평화로 76번길 1,대연동,대연동,
MISSING_DONG_MAPPING,NMG-0036,부산문화회관 챔버홀,부산광역시 남구 유엔평화로 76번길 1,대연동,대연동,
MISSING_DONG_MAPPING,NMG-0037,부산문화회관 사랑채,부산광역시 남구 유엔평화로 76번길 1,대연동,대연동,
MISSING_DONG_MAPPING,NMG-0038,부산문화회관 부설주차장,부산광역시 남구 유엔평화로 76번길 60,대연동,대연동,
MISSING_DONG_MAPPING,NMG-0039,경성대부경대(동명대) 지하철역,부산광역시 남구 수영로 지하 324,대연동,대연동,
MISSING_DONG_MAPPING,NMG-0040,대연(부산고려병원) 지하철역,부산광역시 남구 수영로 지하 242,대연동,대연동,
MISSING_DONG_MAPPING,NMG-0041,못골(남구청) 지하철역,부산광역시 남구 수영로 지하 170,대연동,대연동,
MISSING_DONG_MAPPING,NMG-0042,지게골 지하철역,부산광역시 남구 수영로 지하 70,문현동,문현동,
MISSING_DONG_MAPPING,NMG-0043,문현 지하철역,부산광역시 남구 전포대로 지하 17,문현동,문현동,
MISSING_DONG_MAPPING,NMG-0044,"국제금융센터,부산은행 지하철역",부산광역시 남구 전포대로 지하 97,문현동,문현동,
MISSING_DONG_MAPPING,NMG-0046,부산광역시 여성회관 화장실,부산광역시 남구 수영로 356,대연동,대연동,
MISSING_DONG_MAPPING,NMG-0047,대연수목전시원 화장실,부산광역시 남구 신선로 447번길 24,대연동,대연동,
MISSING_DONG_MAPPING,NMG-0049,부산박물관 동래관1층,부산광역시 남구 유엔평화로 63,대연동,대연동,
MISSING_DONG_MAPPING,NMG-0050,부산박물관 동래관지하,부산광역시 남구 유엔평화로 63,대연동,대연동,
MISSING_DONG_MAPPING,NMG-0051,부산박물관 부산관1층,부산광역시 남구 유엔평화로 63,대연동,대연동,
MISSING_DONG_MAPPING,NMG-0052,부산박물관 부산관2층,부산광역시 남구 유엔평화로 63,대연동,대연동,
MISSING_DONG_MAPPING,NMG-0053,부산박물관 야외,부산광역시 남구 유엔평화로 63,대연동,대연동,
MISSING_DONG_MAPPING,NMG-0054,부산박물관 부산관지하,부산광역시 남구 유엔평화로 63,대연동,대연동,
MISSING_DONG_MAPPING,NMG-0055,부산박물관 부산관장애인화장실,부산광역시 남구 유엔평화로 63,대연동,대연동,
MISSING_DONG_MAPPING,NMG-0056,부산박물관 보존관리동1층,부산광역시 남구 유엔평화로 63,대연동,대연동,
MISSING_DONG_MAPPING,NMG-0057,부산박물관 보존관리동2층,부산광역시 남구 유엔평화로 63,대연동,대연동,
MISSING_DONG_MAPPING,NMG-0058,부산환경공단 남부사업소 정문,부산광역시 남구 이기대공원로11,용호동,용호동,
MISSING_DONG_MAPPING,NMG-0059,환경공단남부사업소공원중앙광장,부산광역시 남구 이기대공원로11,용호동,용호동,
MISSING_DONG_MAPPING,NMG-0060,환경공단남부사업소그라운드골프,부산광역시 남구 이기대공원로11,용호동,용호동,
MISSING_DONG_MAPPING,NMG-0063,대동골문화센터 2층,부산광역시 남구 황령대로319번가길 147,대연동,대연동,
MISSING_DONG_MAPPING,NMG-0064,부산남구문화원 2층,부산광역시 남구 신선로 566-2,용호동,용호동,
MISSING_DONG_MAPPING,NMG-0065,부산남구문화원 3층,부산광역시 남구 신선로 566-2,용호동,용호동,
MISSING_DONG_MAPPING,NMG-0066,하늘바람소극장,부산광역시 남구 용소로13번길 17,대연동,대연동,
MISSING_DONG_MAPPING,NMG-0067,초콜릿팩토리,부산광역시 남구 수영로 298,대연동,대연동,
MISSING_DONG_MAPPING,NMG-0068,드림씨어터 1층 화장실,부산광역시 남구 전포대로 133 ,문현동,문현동,
MISSING_DONG_MAPPING,NMG-0069,드림씨어터 1층 가족화장실,부산광역시 남구 전포대로 133 ,문현동,문현동,
MISSING_DONG_MAPPING,NMG-0070,드림씨어터 1층 장애인화장실,부산광역시 남구 전포대로 133 ,문현동,문현동,
MISSING_DONG_MAPPING,NMG-0071,드림씨어터 2층 장애인화장실,부산광역시 남구 전포대로 133 ,문현동,문현동,
MISSING_DONG_MAPPING,NMG-0072,드림씨어터 3층 화장실,부산광역시 남구 전포대로 133 ,문현동,문현동,
MISSING_DONG_MAPPING,NMG-0073,부경대학교 수상레저관,부산광역시 남구 용소로 45,대연동,대연동,
MISSING_DONG_MAPPING,NMG-0074,부경대학교 창의관,부산광역시 남구 용소로 45,대연동,대연동,
MISSING_DONG_MAPPING,NMG-0075,부경대학교 공학2관,부산광역시 남구 용소로 45,대연동,대연동,
MISSING_DONG_MAPPING,NMG-0076,부경대학교 공학1관,부산광역시 남구 용소로 45,대연동,대연동,
MISSING_DONG_MAPPING,NMG-0077,부경대학교 인문사회·경영관,부산광역시 남구 용소로 45,대연동,대연동,
MISSING_DONG_MAPPING,NMG-0078,부경대학교 가온관,부산광역시 남구 용소로 45,대연동,대연동,
MISSING_DONG_MAPPING,NMG-0079,에저또 소극장,부산광역시 남구 수영로293번길 42,대연동,대연동,
MISSING_DONG_MAPPING,NMG-0080,나다소극장,부산광역시 남구 용소로40번길 11,대연동,대연동,
MISSING_DONG_MAPPING,NMG-0081,부경대학교 충무관,부산광역시 남구 용소로 45,대연동,대연동,
