 구분 ,  세대수  ,  인구수(계)  ,  인구수(남)  ,  인구수(여)  ,  18세이상인구수(계)  ,  18세이상인구수(남)  ,  18세이상인구수(여)  ,  65세이상인구수(계)  ,  65세이상인구수(남)  ,  65세이상인구수(여)  ,  통  ,  반  ,  면적(제곱킬로미터)    ,   구성비(퍼센트) 
 대연1동 ,9377,15047,7577,7470,14304,7213,7091,3936,1636,2300,31,175,1,4
 대연3동 ,18336,36084,17596,18488,30996,14917,16079,5462,2369,3093,33,289,4,14
 대연4동 ,6306,13794,6684,7110,11856,5703,6153,3627,1543,2084,20,156,1,4
 대연5동 ,8396,16141,7715,8426,14554,6872,7682,3975,1691,2284,18,112,1,4
 대연6동 ,6260,15680,7506,8174,12739,6038,6701,2859,1240,1619,16,107,1,4
 용호1동 ,17196,42010,20051,21959,35981,17004,18977,10107,4447,5660,43,361,2,6
 용호2동 ,8007,19114,9172,9942,16308,7733,8575,4819,2141,2678,22,183,2,8
 용호3동 ,5063,10054,4807,5247,9350,4447,4903,3637,1558,2079,18,119,2,7
 용호4동 ,3680,7512,3586,3926,6844,3257,3587,2379,992,1387,14,90,2,6
 용 당 동 ,3432,7527,3812,3715,6722,3405,3317,2069,948,1121,14,84,4,14
 감만1동 ,3524,7568,3881,3687,6868,3519,3349,2225,1034,1191,14,84,3,10
 감만2동 ,3225,6127,2984,3143,5729,2779,2950,2399,965,1434,14,85,1,3
 우암동 ,5548,11706,5658,6048,10783,5152,5631,4391,1848,2543,29,219,1,5
 문현1동 ,4647,10344,5037,5307,9327,4484,4843,3083,1318,1765,19,129,1,3
 문현2동 ,4952,8117,4001,4116,7536,3696,3840,2186,934,1252,16,102,1,2
 문현3동 ,6947,15957,7791,8166,13948,6777,7171,3855,1650,2205,23,155,1,3
 문현4동 ,4190,8445,4095,4350,7757,3724,4033,2626,1091,1535,17,126,1,3
