toilet_id,name,addr,lat,lng,male_wc,female_wc,male_wc_disabled,female_wc_disabled,accessible,district,dong
NMG-0001,21센츄리 상가,부산광역시 남구 수영로 312,35.13759,129.10092,13,6,0,0,0,남구,대연동
NMG-0002,대연지구대 공중화장실,부산광역시 남구 수영로 328,35.13809,129.10186,3,2,1,1,1,남구,대연동
NMG-0003,인터지스 주유소,부산광역시 남구 신선로 173,35.11106,129.08380,4,2,0,0,0,남구,감만동
NMG-0004,북항대소 주유소,부산광역시 남구 신선로 316,35.11433,129.09596,2,1,0,0,0,남구,용당동
NMG-0005,북부산세관,부산광역시 남구 신선로 325,35.11494,129.09416,5,2,0,0,0,남구,용당동
NMG-0006,(주)세일부산항주유소,부산광역시 남구 신선로 387,35.12045,129.09749,2,2,0,0,0,남구,용당동
NMG-0007,경인주유소,부산광역시 남구 신선로 448,35.12499,129.10052,3,21,0,0,0,남구,용당동
NMG-0008,부산분포우체국,부산광역시 남구 신선로 566-1,35.13084,129.11190,2,1,0,0,0,남구,용호동
NMG-0009,문수사 입구 공중화장실,부산광역시 남구 홍곡로336번길 41,35.122245,129.091656,5,5,0,0,0,남구,용당동
NMG-0010,신선대유원지 중턱 공중화장실,부산광역시 남구 신선대산복로174번길 78,35.103781,129.101306,2,2,0,0,0,남구,용당동
NMG-0011,이기대공원 공룡발자국 공중화장실,부산광역시 남구 이기대공원로 105-15,35.123882,129.122218,3,2,0,0,0,남구,용호동
NMG-0012,백운포테니스장 입구 공중화장실,부산광역시 남구 백운포로 34,35.10429,129.111141,5,5,1,1,1,남구,용호동
NMG-0013,백운포체육공원(마사구장) 공중화장실,부산광역시 남구 백운포로 64,35.102877,129.112053,4,3,1,1,1,남구,용호동
NMG-0014,해파랑길 관광안내소,부산광역시 남구 오륙도로 137,35.101558,129.122909,5,7,0,0,0,남구,용호동
NMG-0015,부경대학교 미래관,부산광역시 남구 용소로 45,35.134032,129.1031735,40,43,5,5,1,남구,대연동
NMG-0016,부경대학교 환경해양관,부산광역시 남구 용소로 45,35.134032,129.1031735,71,59,1,1,1,남구,대연동
NMG-0017,부경대학교 학술정보관,부산광역시 남구 용소로 45,35.134032,129.1031735,80,36,3,3,1,남구,대연동
NMG-0018,부경대학교 대학본부,부산광역시 남구 용소로 45,35.134032,129.1031735,29,24,1,1,1,남구,대연동
NMG-0019,부경대학교 수산과학관,부산광역시 남구 용소로 45,35.134032,129.1031735,70,29,0,0,0,남구,대연동
NMG-0020,부경대학교 자연과학1관,부산광역시 남구 용소로 45,35.134032,129.1031735,81,30,0,0,0,남구,대연동
NMG-0021,부경대학교 향파관,부산광역시 남구 용소로 45,35.134032,129.1031735,74,43,0,0,0,남구,대연동
NMG-0022,부경대학교 나래관,부산광역시 남구 용소로 45,35.134032,129.1031735,52,18,0,0,0,남구,대연동
NMG-0023,부경대학교 장영실관,부산광역시 남구 용소로 45,35.134032,129.1031735,38,17,0,0,0,남구,대연동
NMG-0024,부경대학교 해양공동연구관,부산광역시 남구 용소로 45,35.134032,129.1031735,60,25,0,0,0,남구,대연동
NMG-0025,부경대학교 건축관,부산광역시 남구 용소로 45,35.134032,129.1031735,48,20,0,0,0,남구,대연동
NMG-0026,부경대학교 호연관,부산광역시 남구 용소로 45,35.134032,129.1031735,88,34,0,0,0,남구,대연동
NMG-0027,부경대학교 자연과학2관,부산광역시 남구 용소로 45,35.134032,129.1031735,62,23,0,0,0,남구,대연동
NMG-0028,부경대학교 누리관,부산광역시 남구 용소로 45,35.134032,129.1031735,55,20,0,0,0,남구,대연동
NMG-0029,부경대학교 웅비관,부산광역시 남구 용소로 45,35.134032,129.1031735,33,26,1,1,1,남구,대연동
NMG-0030,우암로셀프주유소,부산광역시 남구 우암로 232,35.12556,129.07151,2,1,0,0,0,남구,우암동
NMG-0031,대동골문화센터 3층,부산광역시 남구 황령대로319번가길 147,35.15243,129.08899,4,4,0,0,0,남구,대연동
NMG-0032,가람아트홀,부산광역시 남구 유엔평화로76번길 26,35.12785,129.09274,5,2,0,0,0,남구,대연동
NMG-0033,부산문화회관 전시실,부산광역시 남구 유엔평화로 76번길 1,35.1273138,129.093468,5,3,0,0,0,남구,대연동
NMG-0034,부산문화회관 다듬채,부산광역시 남구 유엔평화로 76번길 1,35.1267636,129.0929446,4,4,2,1,1,남구,대연동
NMG-0035,부산문화회관 중극장,부산광역시 남구 유엔평화로 76번길 1,35.1269388,129.0942594,34,30,2,1,1,남구,대연동
NMG-0036,부산문화회관 챔버홀,부산광역시 남구 유엔평화로 76번길 1,35.1278979,129.0936366,16,7,2,1,1,남구,대연동
NMG-0037,부산문화회관 사랑채,부산광역시 남구 유엔평화로 76번길 1,35.1278979,129.0936366,4,3,0,0,0,남구,대연동
NMG-0038,부산문화회관 부설주차장,부산광역시 남구 유엔평화로 76번길 60,35.1260629,129.0928445,7,4,1,0,1,남구,대연동
NMG-0039,경성대부경대(동명대) 지하철역,부산광역시 남구 수영로 지하 324,35.137585,129.100548,9,5,1,1,1,남구,대연동
NMG-0040,대연(부산고려병원) 지하철역,부산광역시 남구 수영로 지하 242,35.135153,129.092161,9,4,1,1,1,남구,대연동
NMG-0041,못골(남구청) 지하철역,부산광역시 남구 수영로 지하 170,35.134731,129.084415,10,5,1,1,1,남구,대연동
NMG-0042,지게골 지하철역,부산광역시 남구 수영로 지하 70,35.135574,129.074365,11,6,2,1,1,남구,문현동
NMG-0043,문현 지하철역,부산광역시 남구 전포대로 지하 17,35.139151,129.067399,10,5,1,1,1,남구,문현동
NMG-0044,"국제금융센터,부산은행 지하철역",부산광역시 남구 전포대로 지하 97,35.145817,129.066755,12,5,1,1,1,남구,문현동
